# BEAST v1.7.0 Prerelease r4143, r4143
# Generated Sat Jul 15 19:37:44 BST 2017 [seed=1500143864037]
state	posterior	prior	likelihood	treeModel.rootHeight	tmrca(obscura_root)	tmrca(paralog_cuff)	yule.birthRate	CP1+2.kappa	CP3.kappa	CP1+2.alpha	CP3.alpha	CP1+2.mu	CP3.mu	ucld.mean	ucld.stdev	meanRate	coefficientOfVariation	covariance	CP1+2.treeLikelihood	CP3.treeLikelihood	speciation
0	-247122.4823703948	-203486.02403612653	-43636.45833426829	564.2291875331695	506.25715665650705	55.26657993545554	3.0	2.0	2.0	0.5	0.5	1.0	1.0	1.0	0.3333333333333333	1.1997407495045107	0.339642735792054	0.6911676628996931	-26910.06546203872	-16726.392872229568	-9365.433466155333
10000	-22973.16689325668	-244.7584655647687	-22728.40842769191	2.3116084162030894	1.0024921613664655	0.2080393977779198	2.3762111490495403	1.4087613168609496	2.825535000752609	0.7511718651690066	0.5009757843423379	0.045701841300582996	2.908596317398834	19.105642852215965	1.282112358319288	7.851398638805525	1.1418230628074681	0.2662521834676146	-12549.763494629678	-10178.64493306223	-10.481437755021446
20000	-22517.861290301524	-246.00455150902263	-22271.8567387925	2.837182521025692	0.9901056886315437	0.18192587920320144	1.702280386677138	1.5223497765696816	3.15585205136259	0.8163188263976533	0.5009757843423379	0.04103756976734378	2.9179248604653125	17.452839031666656	1.3180732275098013	7.518370683523496	1.0736221771236083	0.3727278964675269	-12284.679654006462	-9987.177084786035	-10.880539956531935
30000	-22197.324858768632	-237.367758899768	-21959.957099868865	1.7947027926330401	1.002608443810869	0.1846091347038754	2.5072385667593164	1.267152643796323	3.1783694303487446	0.9480136411228423	0.5009757843423379	0.04104795127004461	2.917904097459911	13.980003382847704	1.1756350911953442	8.18029165288691	0.9355987165349751	0.27094869343633887	-12073.449172637938	-9886.507927230927	-2.9461179035700935
40000	-22177.02593214936	-236.00770055542458	-21941.01823159394	1.4651840108893532	0.9876872537799625	0.1928810357279619	2.4794401297216306	1.3606349245225893	3.1783694303487446	0.7898909145915184	0.5009757843423379	0.038919459388793196	2.9221610812224137	15.252145008117983	1.196311270981158	9.011524215376838	1.0850898573116752	0.08679934423961964	-12056.9844358135	-9884.033795780439	-1.091208946717983
50000	-22174.488742778733	-231.61371716888974	-21942.875025609843	1.374198561795377	1.0064272504332528	0.17495675909495892	3.211088369215209	1.4255894577683508	2.9391421647145215	0.8857553211547626	0.5009757843423379	0.043765537224137105	2.912468925551726	14.085554222583717	1.1370982453825624	9.010818242367062	1.0123441380492149	0.07672476429879516	-12047.817435192912	-9895.057590416929	2.7253805650136265
60000	-22170.24919530664	-234.16651296635447	-21936.082682340282	1.2846056429277943	1.0112264202513785	0.18653820079069017	2.331774392778968	1.5920130073402101	2.930072469182317	0.8590940528000549	0.5009757843423379	0.04325426238136183	2.9134914752372767	12.11317421757824	1.1228008930269402	8.779987332731112	0.8955609748141657	0.06159508941351957	-12040.273820468832	-9895.80886187145	0.5669029880166692
70000	-22135.958612351566	-235.2620312393306	-21900.696581112235	1.282665712759233	0.9701936267939466	0.22158981461615768	3.2180054918089285	1.5370109884389183	2.7763702787874793	0.8798016728092517	0.5024621409148041	0.039645267456711444	2.9207094650865773	14.335557702995828	1.0924048381824136	9.41210383131491	0.9249995936042726	0.06895546438916364	-12028.743275969984	-9871.953305142251	3.2392434068383285
80000	-22141.722243486016	-232.87159119899675	-21908.85065228702	1.2369652748283586	0.9928016285393787	0.28474856091358314	3.5893050788914	1.5310763221837687	3.0809328444233173	0.9899450366383639	0.5024621409148041	0.041018318614775756	2.9179633627704487	14.973730506634222	1.1922508597888715	9.374385654450045	0.9832085085433966	0.005334927394366644	-12034.691095218794	-9874.159557068226	1.973311900095565
90000	-22126.895547565462	-233.95977238189985	-21892.935775183563	1.3135491083414008	0.9769858752392958	0.17221159452379187	3.62381853042716	1.403034199936968	3.1761296409525657	0.8691228115150847	0.5024621409148041	0.04188376912673379	2.9162324617465325	14.689296635681432	1.1275337074046166	9.54905962200543	0.9204273481248632	0.09737048371885969	-12018.715703975191	-9874.220071208372	2.8551544978798447
100000	-22122.801124801474	-230.99785750076072	-21891.803267300715	1.2704307876002234	1.0080326386675122	0.14000450684143598	4.205101601472936	1.403034199936968	3.0450869369540534	0.970033526405541	0.5024621409148041	0.04188376912673379	2.9162324617465325	13.188130728866549	1.0015628461693504	9.507869724441742	0.8372071944420015	0.023007362711676468	-12013.45826137532	-9878.345005925396	3.251674102276798
110000	-22126.282871717867	-229.10322433906845	-21897.179647378798	1.2973686967552363	1.0042695726173925	0.09057344424719854	3.6647586754387422	1.310599117039114	3.264372068098759	0.8926700464520859	0.5024621409148041	0.041201810287715177	2.9175963794245696	14.016903672041478	1.071606481825794	9.790334312653618	0.8432712428042085	0.12530775053458185	-12033.476930392582	-9863.702716986216	5.005134435590577
120000	-22120.244731504386	-231.45295118884331	-21888.791780315543	1.3800052708253263	1.0055275118010392	0.09688483274964371	3.5797559970756385	1.4392087445055681	3.136058713266683	0.8642733923646704	0.5024621409148041	0.04086943052456922	2.9182611389508617	12.179521770959152	1.0349174366825271	9.414204776064892	0.9181402042014918	0.23687092686706285	-12021.391458420841	-9867.400321894704	2.560016681358391
130000	-22134.701754025762	-230.87392005469508	-21903.827833971067	1.252614847907732	1.012890102012785	0.178015438611877	3.5426304175687076	1.482475480288774	3.253883655682072	0.9094689466285693	0.5062821290494769	0.04552853323312754	2.908942933533745	11.305133444091638	0.9698578116161258	9.0458441309034	0.8839843651583372	0.04464132015531027	-12018.647657685851	-9885.180176285214	3.7796446985758987
140000	-22134.32705744606	-229.14860644606665	-21905.178450999992	1.0643418307949324	1.002672203085386	0.15388578873015385	3.699920361832592	1.6185789669395432	3.159832104728493	1.0311698543789665	0.5062821290494769	0.04552853323312754	2.908942933533745	11.093765982305987	0.9762427116469231	9.367661083587269	0.7586144723874984	0.10552645728039345	-12035.709304560884	-9869.469146439109	4.991515230505366
150000	-22129.043324818	-234.25262342625766	-21894.790701391743	1.2902033370423656	0.9938527032275157	0.15997104328188952	2.588270142925937	1.4248750789776279	3.3601120365650843	0.8049534220650142	0.5063643579938977	0.043505154409284125	2.9129896911814317	9.470622346681674	1.065025150808038	7.797412875283827	0.7691181275205946	0.31317331035703305	-12024.714044831897	-9870.076656559846	-0.16855638056434064
