# BEAST v1.7.0 Prerelease r4143, r4143
# Generated Wed Jul 26 15:53:27 BST 2017 [seed=1501080806070]
state	posterior	prior	likelihood	treeModel.rootHeight	tmrca(paralog_vret)	tmrca(vret_obsr)	yule.birthRate	CP1+2.kappa	CP3.kappa	CP1+2.alpha	CP3.alpha	CP1+2.mu	CP3.mu	ucld.mean	ucld.stdev	meanRate	coefficientOfVariation	covariance	CP1+2.treeLikelihood	CP3.treeLikelihood	speciation
0	-308030.770217443	-219228.77233746237	-88801.9978799806	729.3260493264851	702.5198023181383	531.2756527089925	5.1	2.0	2.0	0.5	0.5	1.0	1.0	1.0	0.3333333333333333	1.1180737941616814	0.3398122108875711	0.6940899298933828	-53886.97717440752	-34915.020705573086	-22092.782758117915
10000	-43398.73717523098	-283.8883570129443	-43114.84881821803	6.160564252659701	1.1274709825893428	0.9715784852750247	0.8930692502791063	1.7514506521661022	3.392497478168546	0.6570248004367233	1.4168286913869415	0.6202726825631192	1.7594546348737616	0.5537017277865524	1.509263720960589	0.19804723234788849	1.9410272392143992	0.0534007525016505	-22843.346723652685	-20271.50209456534	-42.86823950571154
20000	-40522.528847912	-274.48235929982	-40248.04648861218	4.2072175986972935	1.0887670204992512	0.9888609665728911	0.9036271383740988	1.8231414802823296	3.3122233737752813	0.7268130744317438	2.260124715410565	0.6254423461008952	1.7491153077982096	0.5144099255852604	1.4358182916378672	0.20797547824685889	1.7922810254740917	-0.061957023447699086	-21231.710955188242	-19016.33553342394	-35.35717695395274
30000	-40441.00973633956	-273.2391163175343	-40167.77062002203	2.3624182857728298	1.1125976252439638	1.01131603896418	1.4813926597392066	1.8391514979077757	3.3122233737752813	0.7268130744317438	5.209331092167219	0.6073823000752404	1.7852353998495192	0.4840848683750216	1.4246434537956534	0.23116875601904333	1.7666361300596016	-0.08820830847784787	-21208.94424764961	-18958.82637237242	-28.20311146080545
40000	-40420.02478873061	-271.0179921998284	-40149.00679653078	2.4056010291263417	1.077593120954927	0.9870570536591391	1.137966107704966	1.8911536153958572	3.2763470971360014	0.7268130744317438	4.428862066432936	0.6148982394206675	1.770203521158665	0.5656027918239345	1.4970281525948932	0.24252606891270073	1.9233705537730006	-0.11305837957474617	-21200.890989715994	-18948.115806814785	-27.137784033483424
50000	-40413.03933980981	-267.5491294137672	-40145.49021039604	2.2665283209300777	1.046676516794252	1.006234723904898	1.3572627103686647	1.8911536153958572	3.3921667278702445	0.7146944030145682	3.8892547443936776	0.6042199039762319	1.7915601920475361	0.5398828609508552	1.493755609069849	0.26144972306805025	1.8577965664929725	-0.07032488982773143	-21212.854749790484	-18932.635460605557	-25.369465509003277
60000	-40404.8291533809	-267.36907287296447	-40137.46008050794	2.1649852590460803	1.0474865748532387	1.0018435565078607	1.2809781809691358	1.897367116076652	3.3921667278702445	0.7794055370480227	4.226509321193029	0.614557902809437	1.770884194381126	0.4843282284668679	1.4126477746236377	0.26183870812470916	1.7190911342653064	-0.10888392864461406	-21193.318584547713	-18944.141495960226	-24.809031148720624
70000	-40410.69426109163	-268.7385822549294	-40141.955678836704	2.1715930722351597	1.0697187724766208	0.9877791408025416	1.5947878882056008	1.8746376493195487	3.12834819294992	0.7857756614228271	4.401907602637399	0.6076418501247849	1.7847162997504302	0.5044835217250471	1.432790015524343	0.2440198868001281	1.816670599455997	-0.10144757223100417	-21197.510108875405	-18944.445569961295	-25.13634406803093
80000	-40408.8844571899	-266.53096503203136	-40142.35349215787	2.0872016612145687	1.0305510668213334	1.0018023249833474	1.6765569555524675	1.8821623729881272	3.273947407520337	0.7857756614228271	4.175632783292462	0.6162422200587173	1.7675155598825654	0.5240971420181991	1.4846976871205892	0.2601378994219052	1.824021213588022	-0.049819666042802586	-21199.889589602637	-18942.463902555228	-23.890869177840486
90000	-40399.08614239497	-264.6895495719972	-40134.39659282297	1.914566760994081	1.0286934653548598	0.9984546855438574	1.856350732301376	1.7727547798989784	3.236216643550988	0.7597841083324581	4.023537781757354	0.5992121922121558	1.8015756155756883	0.5132079979108627	1.4558009573192754	0.27276805470986687	1.7140957177639227	-0.06567081564043513	-21199.35051386584	-18935.04607895713	-22.55917093205582
