"accession"	"species"	"organ"	"sex"	"gene"	"genelength"	"reads"	"relex"	"normalized"
"1"	"DRR0055158"	"Dmir"	"abdomens"	"female"	"ArmiDmir"	3534	4441	1.25664968873797	0.0155554472748603
"2"	"DRR0055158"	"Dmir"	"abdomens"	"female"	"Arx1Dmir"	492	387	0.786585365853659	0.00973675264902291
"3"	"DRR0055158"	"Dmir"	"abdomens"	"female"	"Arx2Dmir"	498	3	0.00602409638554217	7.45693207452955e-05
"4"	"DRR0055158"	"Dmir"	"abdomens"	"female"	"Cuff1Dmir"	1122	0	0	0
"5"	"DRR0055158"	"Dmir"	"abdomens"	"female"	"Cuff2Dmir"	1125	331	0.294222222222222	0.0036420319090409
"6"	"DRR0055158"	"Dmir"	"abdomens"	"female"	"Mael1Dmir"	1157	608	0.525496974935177	0.00650486811078754
"7"	"DRR0055158"	"Dmir"	"abdomens"	"female"	"Mael2Dmir"	1317	933	0.708428246013667	0.00876928417493537
"8"	"DRR0055158"	"Dmir"	"abdomens"	"female"	"Tejas1Dmir"	1413	244	0.172682236376504	0.00213754831384816
"9"	"DRR0055158"	"Dmir"	"abdomens"	"female"	"Tejas2Dmir"	1797	225	0.125208681135225	0.0015498965664089
"10"	"DRR0055158"	"Dmir"	"abdomens"	"female"	"Vret1Dmir"	2088	868	0.415708812260536	0.00514585454384489
"11"	"DRR0055158"	"Dmir"	"abdomens"	"female"	"Vret2Dmir"	2106	153	0.0726495726495727	0.000899293261295829
"12"	"DRR0055158"	"Dmir"	"abdomens"	"female"	"Ago2abDmir"	2283	134	0.058694699956198	0.000726552768575713
"13"	"DRR0055158"	"Dmir"	"abdomens"	"female"	"Ago2cDmir"	2283	2383	1.04380201489268	0.0129207108023576
"14"	"DRR0055158"	"Dmir"	"abdomens"	"female"	"Ago2dDmir"	2283	182	0.0797196671046868	0.000986810476722237
"15"	"DRR0055158"	"Dmir"	"abdomens"	"female"	"Ago2eDmir"	2286	3	0.00131233595800525	1.6244760162361e-05
"16"	"DRR0055158"	"Dmir"	"abdomens"	"female"	"rpl32Dmir"	405	32718	80.7851851851852	1
"17"	"DRR0055159"	"Dmir"	"abdomens"	"female"	"ArmiDmir"	3534	1883	0.532823995472552	0.00515722386459823
"18"	"DRR0055159"	"Dmir"	"abdomens"	"female"	"Arx1Dmir"	492	367	0.745934959349594	0.00721993304821799
"19"	"DRR0055159"	"Dmir"	"abdomens"	"female"	"Arx2Dmir"	498	4	0.00803212851405622	7.77432795973704e-05
"20"	"DRR0055159"	"Dmir"	"abdomens"	"female"	"Cuff1Dmir"	1122	2	0.0017825311942959	1.7253187718133e-05
"21"	"DRR0055159"	"Dmir"	"abdomens"	"female"	"Cuff2Dmir"	1125	377	0.335111111111111	0.00324355328250842
"22"	"DRR0055159"	"Dmir"	"abdomens"	"female"	"Mael1Dmir"	1157	627	0.541918755401901	0.00524525239437349
"23"	"DRR0055159"	"Dmir"	"abdomens"	"female"	"Mael2Dmir"	1317	1089	0.826879271070615	0.00800339614233203
"24"	"DRR0055159"	"Dmir"	"abdomens"	"female"	"Tejas1Dmir"	1413	182	0.128803963198868	0.00124669849426526
"25"	"DRR0055159"	"Dmir"	"abdomens"	"female"	"Tejas2Dmir"	1797	146	0.0812465219810796	0.000786388198798777
"26"	"DRR0055159"	"Dmir"	"abdomens"	"female"	"Vret1Dmir"	2088	676	0.323754789272031	0.00313363500836872
"27"	"DRR0055159"	"Dmir"	"abdomens"	"female"	"Vret2Dmir"	2106	71	0.033713200379867	0.000326311358025145
"28"	"DRR0055159"	"Dmir"	"abdomens"	"female"	"Ago2abDmir"	2283	107	0.046868155935173	0.000453638676809623
"29"	"DRR0055159"	"Dmir"	"abdomens"	"female"	"Ago2cDmir"	2283	1030	0.451160753394656	0.00436680221601787
"30"	"DRR0055159"	"Dmir"	"abdomens"	"female"	"Ago2dDmir"	2283	98	0.0429259745948314	0.000415482152591992
"31"	"DRR0055159"	"Dmir"	"abdomens"	"female"	"Ago2eDmir"	2286	2	0.000874890638670166	8.46810000863746e-06
"32"	"DRR0055159"	"Dmir"	"abdomens"	"female"	"rpl32Dmir"	405	41843	103.316049382716	1
"33"	"DRR0055160"	"Dmir"	"abdomens"	"male"	"ArmiDmir"	3534	1463	0.413978494623656	0.0159647010400477
"34"	"DRR0055160"	"Dmir"	"abdomens"	"male"	"Arx1Dmir"	492	170	0.345528455284553	0.0133249880394443
"35"	"DRR0055160"	"Dmir"	"abdomens"	"male"	"Arx2Dmir"	498	51	0.102409638554217	0.0039493338044618
"36"	"DRR0055160"	"Dmir"	"abdomens"	"male"	"Cuff1Dmir"	1122	192	0.171122994652406	0.00659920137442626
"37"	"DRR0055160"	"Dmir"	"abdomens"	"male"	"Cuff2Dmir"	1125	284	0.252444444444444	0.00973528851647306
